Campaign	Store ID	Location	Region
RR_Surface_PMAX_Corp_Value_Core-Burger_739_Irvington	739	Irvington	Southwest
RR_Surface_PMAX_Corp_Value_Adult-Non-Burger_752_Glendale	752	Glendale	Southwest
RR_Surface_PMAX_Corp_Value_Core-Burger_718_Frederick	718	Frederick	Northeast
RR_Surface_PMAX_Corp_Value_Core-Burger_522_East-Peoria	522	East Peoria	Midwest
RR_Surface_PMAX_Donatos			
RR_Surface_SEM_Brand_Donatos			
RR_Surface_SEM_Brand_Corp_Phrase			
RR_Surface_SEM_Brand_Franch_Phrase			
RR_Surface_SEM_Brand_Corp_Menu			
RR_Surface_SEM_Brand_Corp_Exact			
RR_Surface_SEM_Brand_Corp_Geo			
zzzRR_Surface_Youtube_Corp_Growing-Burger_Value-Mix_436_Metropolis	436	Metropolis	Midwest
zzzRR_Surface_Youtube_Corp_Premium-Families_Value-Mix_490_Denver-West	490	Denver West	Mountain
zzzRR_Surface_Youtube_Core-Bar/Adult_Value-Mix_458_Summerlin	458	Summerlin	Mountain
RR_Surface_Youtube_Corp_Bar-Driven-Promo_Value-Mix_598_Redlands	598	Redlands	West Coast
RR_Surface_SEM_Brand_Corp_Competitor			
zzzRR_Surface_Youtube_Core-Bar/Adult_Value-Mix_208_Havana	208	Havana	Mountain
zzzRR_Surface_Youtube_Growing-Burger_Value-Mix_481_Henrietta	481	Henrietta	Northeast
zzzRR_Surface_Youtube_Everyday-Non-Burger_Value-Mix_15_Broadmoor	15	Broadmoor	Mountain
zzzRR_Surface_Youtube_Everyday-Non-Burger_Value-Mix_62_Powers	62	Powers	Mountain
zzzRR_Surface_Youtube_Core-Bar/Adult_Value-Mix_459_Silverado-Ranch	459	Silverado Ranch	Mountain
zzzRR_Surface_Youtube_Core-Burger_Value-Mix_550_Sanford	550	Sanford	Southeast
zzzRR_Surface_Youtube_Corp_Core-Burger_Value-Mix_639_Palm-Beach	639	Palm Beach	Southeast
zzzRR_Surface_Youtube_Everyday-Non-Burger_Value-Mix_746_Metro-Center	746	Metro Center	Southwest
zzzRR_Surface_Youtube_Growing-Burger_Value-Mix_713_Vestal	713	Vestal	Northeast
zzzRR_Surface_Youtube_Core-Bar/Adult_Value-Mix_197_Elk-Grove	197	Elk Grove	West Coast
zzzRR_Surface_Youtube_Everyday-Non-Burger_Value-Mix_220_Westpark	220	Westpark	Pacific NW
zzzRR_Surface_Youtube_Core-Non-Burger_Value-Mix_225_Century-Rio	225	Century Rio	Southwest
