Name,Description,Section,Assignee,Parent Task
Business entity / registration confirmed,"Confirm LLC (or chosen structure), EIN, and ownership docs.",1. Foundation & Legal,,
LLC (or chosen structure) filed,,1. Foundation & Legal,,Business entity / registration confirmed
EIN obtained,,1. Foundation & Legal,,Business entity / registration confirmed
Operating agreement / ownership docs stored,,1. Foundation & Legal,,Business entity / registration confirmed
Banking & payments,Get paid and track money cleanly.,1. Foundation & Legal,,
Business bank account open,,1. Foundation & Legal,,Banking & payments
Stripe / invoicing set up,,1. Foundation & Legal,,Banking & payments
"Payment terms written (deposit, net-15, etc.)",,1. Foundation & Legal,,Banking & payments
Insurance & compliance,,1. Foundation & Legal,,
Business insurance reviewed/quoted,,1. Foundation & Legal,,Insurance & compliance
Contracts / MSA / SOW templates ready,,1. Foundation & Legal,,Insurance & compliance
Privacy policy + terms on site,,1. Foundation & Legal,,Insurance & compliance
Brand kit locked,,2. Brand & Assets,,
Logo final (light + dark + transparent),,2. Brand & Assets,,Brand kit locked
Colors / fonts documented,,2. Brand & Assets,,Brand kit locked
One-liner + short bio + long bio,,2. Brand & Assets,,Brand kit locked
Print & physical,,2. Brand & Assets,,
Business cards final + ordered,,2. Brand & Assets,,Print & physical
Cards received / stocked,,2. Brand & Assets,,Print & physical
Digital asset library,,2. Brand & Assets,,
"Folder structure (logo, headshots, product, social, video)",,2. Brand & Assets,,Digital asset library
Naming convention set,,2. Brand & Assets,,Digital asset library
hellomosaic.ai live check,,3. Website & Conversion,,
Homepage + key pages load on mobile,,3. Website & Conversion,,hellomosaic.ai live check
Contact form tested (Formspree / email delivery),,3. Website & Conversion,,hellomosaic.ai live check
Thank-you / confirmation flow works,,3. Website & Conversion,,hellomosaic.ai live check
Offer clarity on site,,3. Website & Conversion,,
Services listed clearly,,3. Website & Conversion,,Offer clarity on site
Packages / starting prices (or book a call),,3. Website & Conversion,,Offer clarity on site
CTA above the fold works,,3. Website & Conversion,,Offer clarity on site
Tracking,,3. Website & Conversion,,
Analytics installed (GA4 or equivalent),,3. Website & Conversion,,Tracking
Form submissions tracked,,3. Website & Conversion,,Tracking
Calendar / booking link live,,3. Website & Conversion,,Tracking
Google Business Profile,,4. Google Presence (Local / CDA),,
Profile claimed / verified,,4. Google Presence (Local / CDA),,Google Business Profile
Cover photo uploaded,,4. Google Presence (Local / CDA),,Google Business Profile
Logo + categories + service area set,,4. Google Presence (Local / CDA),,Google Business Profile
"Hours, phone, website, description filled",,4. Google Presence (Local / CDA),,Google Business Profile
First 3-5 posts scheduled/published,,4. Google Presence (Local / CDA),,Google Business Profile
Local SEO basics,,4. Google Presence (Local / CDA),,
"NAP consistent everywhere (name, address, phone)",,4. Google Presence (Local / CDA),,Local SEO basics
Services listed in GBP,,4. Google Presence (Local / CDA),,Local SEO basics
Ask for first reviews plan,,4. Google Presence (Local / CDA),,Local SEO basics
LinkedIn (priority),,5. Social Media Setup,,
"Personal profile optimized (headline, about, featured)",,5. Social Media Setup,,LinkedIn (priority)
Company page created/updated,,5. Social Media Setup,,LinkedIn (priority)
Cover + logo uploaded,,5. Social Media Setup,,LinkedIn (priority)
First 3 posts drafted,,5. Social Media Setup,,LinkedIn (priority)
Instagram / other (if using),,5. Social Media Setup,,
Handle secured + bio + link,,5. Social Media Setup,,Instagram / other (if using)
Highlights / pinned post structure,,5. Social Media Setup,,Instagram / other (if using)
Content pillars defined (3-5 themes),,5. Social Media Setup,,Instagram / other (if using)
Social ops,,5. Social Media Setup,,
Content calendar (4 weeks),,5. Social Media Setup,,Social ops
Posting cadence decided,,5. Social Media Setup,,Social ops
Hashtag / location tags for CDA,,5. Social Media Setup,,Social ops
Shot list planned,,6. Photos & Video Production,,
